hash,date,bug,review,lines_added,lines_removed,num_revisions,time_uploaded,time_pushed,is_unittested,is_unittest_only,num_msg,time_plus2,num_unresolved_comments,assigned_category,manual_category,researcher1,researcher2,researcher2_category,final_category,disagreement,num_comments
7c461e6114b25636c40c331f488fcefa95c76e23,2018-02-21,crbug.com/757625,https://chromium-review.googlesource.com/950306,10,0,2,2018-03-06 00:43:05,2018-03-06 22:39:28,FALSE,FALSE,13,2018-03-06 00:59:14,0,Feature,RFE,Yitong,colin,RFE,RFE,FALSE,0
2cf2a0211b3935f2ebb34f1973f0b8f4e3de0e9b,2017-09-13,crbug.com/763415,https://chromium-review.googlesource.com/666122,8,0,2,2017-09-14 00:16:40,2017-09-15 07:25:17,FALSE,FALSE,13,2017-09-14 23:55:45,0,NULL,NULL,Yitong,colin,NULL,NULL,FALSE,2
80b6537e56b9da9939e825fe6726d2d847f461e0,2018-06-15,crbug.com/822464,https://chromium-review.googlesource.com/1111101,128,0,4,2018-06-21 23:16:24,2018-06-26 09:56:03,FALSE,FALSE,30,2018-06-25 18:08:54,0,Feature,RFE,Yitong,colin,RFE,RFE,FALSE,19
94a41a54c6f6fb42e89e6c4d7714c28b1b0ef5f5,2018-06-05,crbug.com/211405,https://chromium-review.googlesource.com/1087835,6,0,4,2018-06-05 22:35:00,2018-06-08 06:35:07,FALSE,FALSE,24,2018-06-08 00:13:27,2,NULL,NULL,Yitong,colin,NULL,NULL,FALSE,8
b6208952d4ab3da71cd59f5948aa5244c9091dad,2018-01-31,crbug.com/778261,https://chromium-review.googlesource.com/894831,0,3,1,2018-01-31 15:49:19,2018-02-01 02:01:42,FALSE,FALSE,12,2018-01-31 17:07:10,0,Task,REFAC,Yitong,colin,REFAC,REFAC,FALSE,0
b6208952d4ab3da71cd59f5948aa5244c9091dad,2018-01-31,crbug.com/233833,https://chromium-review.googlesource.com/894831,0,3,1,2018-01-31 15:49:19,2018-02-01 02:01:42,FALSE,FALSE,12,2018-01-31 17:07:10,0,Bug,RFE,Yitong,colin,RFE,RFE,FALSE,0
adda7dd0025b786c2a61727bc3371ff8ed0262bf,2017-09-29,crbug.com/742665,https://chromium-review.googlesource.com/693285,1,0,1,2017-09-29 21:20:58,2017-10-11 20:20:09,FALSE,FALSE,16,2017-09-29 21:30:35,0,NULL,RFE,Yitong,colin,RFE,RFE,FALSE,0
77c562a767492eb0e4fc5c4dd3b78e31fdd111d1,2018-01-16,crbug.com/757625,https://chromium-review.googlesource.com/868931,13,0,3,2018-01-16 20:19:59,2018-01-18 22:45:08,FALSE,FALSE,37,2018-01-17 01:10:04,0,Feature,RFE,Yitong,colin,RFE,RFE,FALSE,2
60c87361c40ef07197cf7a9d1c347d9b6e4e9ec6,2018-04-19,crbug.com/837161,https://chromium-review.googlesource.com/1029992,17,0,2,2018-04-26 09:04:24,2018-04-27 16:30:12,FALSE,FALSE,14,2018-04-27 00:21:07,0,Bug,RFE,Yitong,colin,RFE,RFE,FALSE,0
f0bfe18b25712cc8e022d0c6edbe4eb8b380e8e9,2018-05-30,crbug.com/822499,https://chromium-review.googlesource.com/1080156,3,0,1,2018-05-30 23:03:23,2018-05-31 19:26:40,FALSE,FALSE,22,2018-05-30 23:20:16,0,Feature,RFE,Yitong,colin,RFE,RFE,FALSE,0
062edf2bae45d93a954c36734ce96ff80153c805,2018-03-28,crbug.com/822814,https://chromium-review.googlesource.com/982820,17,0,6,2018-03-28 07:27:07,2018-05-31 23:23:35,FALSE,FALSE,55,2018-05-16 17:10:12,0,Bug,RFE,Yitong,colin,RFE,RFE,FALSE,2
