hash,date,bug,review,lines_added,lines_removed,num_revisions,time_uploaded,time_pushed,is_unittested,is_unittest_only,num_msg,time_plus2,num_unresolved_comments,category,is_buggy,researcher1,researcher2
915022393f724fbfaa601bda131c771ee7570f76,2018-04-13,crbug.com/831815,https://chromium-review.googlesource.com/1012761,6,4,3,2018-04-13 19:59:11,2018-04-18 00:34:38,,,25,2018-04-16 17:04:47,0,,,,
da851450dfc625719754af022c38f91a97838c93,2018-02-13,crbug.com/810184,https://chromium-review.googlesource.com/917306,2,2,1,2018-02-13 23:07:55,2018-03-07 01:25:11,,,24,2018-02-22 15:30:09,0,,,,
6be716878b4027e6c2617bb7c3ce2c877331d1d2,2017-12-01,crbug.com/791079,https://chromium-review.googlesource.com/803656,9,1,3,2017-12-01 18:49:13,2017-12-05 03:41:04,,,15,2017-12-01 23:47:44,0,,,,
76af266b36c5be01e819e7cd01f9cf19a72ccaa9,2018-05-15,crbug.com/814090,https://chromium-review.googlesource.com/1060288,3,3,1,2018-05-15 19:58:28,2018-05-16 19:43:14,,,16,2018-05-15 20:04:45,0,,,,
9614350fdecd73ded555d6ea06097c70416575af,2018-06-13,crbug.com/852860,https://chromium-review.googlesource.com/1101468,36,0,3,2018-06-14 18:26:16,2018-06-16 05:21:26,,,17,2018-06-15 21:32:17,0,,,,
8b936f277f447d53e1c578d22bc7171a939473c7,2018-06-15,crbug.com/853161,https://chromium-review.googlesource.com/1102509,94,70,4,2018-06-15 14:52:22,2018-06-20 21:26:08,,,23,2018-06-19 17:10:31,0,,,,
0ff621cf717cd3c98461d217c857352cb6dae88a,2018-07-13,crbug.com/840432,https://chromium-review.googlesource.com/1123106,209,33,10,2018-07-02 19:16:00,2018-07-17 16:10:05,,,32,2018-07-16 18:33:48,4,,,,
b7f45dfcc72b1cfed2432cf30b36d815ff1af0d4,2017-09-08,crbug.com/762328,https://chromium-review.googlesource.com/658609,5,1,1,2017-09-09 03:43:29,2017-09-12 17:32:33,,,27,2017-09-09 17:13:27,0,,,,
b05a65a748bd2e2542e7b05f629d3bc69c8d8135,2017-12-18,crbug.com/796338,https://chromium-review.googlesource.com/834875,96,136,3,2017-12-19 22:22:41,2018-10-02 21:13:04,,,21,2018-01-04 01:13:35,1,,,,
cb2da0df4382f546efd4269851ce814842a4b7fd,2018-01-28,crbug.com/806613,https://chromium-review.googlesource.com/890384,2,0,1,2018-01-29 00:08:23,2018-03-07 18:22:20,,,8,2018-01-29 00:28:53,0,,,,
